# Sky View Factor Data
# Point_ID X Y Z SkyViewFactor
154 -7.82131 2.03949 0.65 0
155 -7.92828 1.82427 0.658611 0
156 -7.91631 1.8189 0.650124 0
157 -7.92575 1.80056 0.650071 0
158 -7.92503 1.82685 0.657097 0
159 -7.89658 1.85844 0.662593 0
160 -7.89276 1.86269 0.787007 0
161 -7.87453 1.87319 0.648044 0
162 -7.87374 1.86791 0.65121 0
163 -7.85463 1.87718 0.651643 0
164 -7.87156 1.88045 0.848426 0
165 -7.67506 1.88609 0.848464 0
166 -7.82373 1.88697 0.849616 0
167 -7.71544 1.88744 0.84982 0
168 -7.67818 1.87202 0.650124 0
169 -7.61815 1.88363 0.725 0
170 -7.62373 1.8795 0.649888 0
171 -7.64001 1.87241 0.650214 0
172 -7.63768 1.88472 0.662291 0
173 -7.55604 1.73923 0.654454 0
174 -7.5506 1.81121 0.785 0
175 -7.56124 1.82707 0.656526 0
176 -7.55913 1.73923 0.652084 0
177 -7.55972 1.80762 0.653669 0
178 -7.57297 1.82075 0.650943 0
179 -7.55287 1.80197 0.848604 0
180 -7.55169 1.73547 0.664007 0
181 -7.55005 1.76038 0.849829 0
182 -7.55159 1.78773 0.787007 0
183 -7.55159 2.02369 0.787007 0
184 -7.56055 1.58916 0.662239 0
185 -7.56037 1.62223 0.652232 0
186 -7.58716 1.56803 0.848554 0
187 -7.62072 1.55721 0.657671 0
188 -7.61623 1.55707 0.787007 0
189 -7.60042 1.56028 0.848505 0
190 -7.60535 1.55716 0.84993 0
191 -7.55222 1.62081 0.849263 0
192 -7.55126 1.62782 0.849643 0
193 -7.66991 1.54901 0.725 0
194 -7.78483 1.55552 0.658706 0
195 -7.83067 1.55384 0.848454 0
196 -7.85734 1.55249 0.849806 0
197 -7.90112 1.57443 0.646539 0
198 -7.92775 1.61205 0.65097 0
199 -7.93946 1.62757 0.659361 0
200 -7.91947 1.57961 0.787007 0
201 -7.93928 1.61391 0.849174 0
202 -7.88421 1.55695 0.849151 0
203 -7.549 1.93204 0.845 0
204 -7.87779 1.89393 0.845 0
205 -7.6907 1.89977 0.85 0
206 -7.62827 1.89923 0.85 0
207 -7.6202 1.91592 0.85 0
208 -5.10653 3.81904 4.43333 0.0557497
